exchange_id,exchange_name,symbol,base,target,funding_rate,open_interest_usd,h24_volume,last,trade_url
binance_futures,Binance (Futures),AIOUSDT,AIO,USDT,0.005,3885291.80890773,531135736.0,0.08,https://www.binance.com/en/futures/AIOUSDT
binance_futures,Binance (Futures),AIOTUSDT,AIOT,USDT,-0.848,19472103.18845139,97081338.0,1.454,https://www.binance.com/en/futures/AIOTUSDT
binance_futures,Binance (Futures),AIXBTUSDT,AIXBT,USDT,0.0,8307953.90654768,183976096.0,0.104,https://www.binance.com/en/futures/AIXBTUSDT
binance_futures,Binance (Futures),AKTUSDT,AKT,USDT,0.005,2946032.5472034663,2945512.7,1.152,https://www.binance.com/en/futures/AKTUSDT
binance_futures,Binance (Futures),ALCHUSDT,ALCH,USDT,0.025,55786416.063830554,288247993.0,0.129,https://www.binance.com/en/futures/ALCHUSDT
binance_futures,Binance (Futures),ALGOUSD_PERP,ALGO,USD,0.01,64853.46,14384744.72405204,0.241,https://www.binance.com/en/futures/ALGOUSD_PERP
binance_futures,Binance (Futures),ALGOUSDT,ALGO,USDT,-0.007,18599913.008404,148245484.2,0.242,https://www.binance.com/en/futures/ALGOUSDT
binance_futures,Binance (Futures),ALICEUSDT,ALICE,USDT,0.01,3109742.113290813,28320925.0,0.361,https://www.binance.com/en/futures/ALICEUSDT
binance_futures,Binance (Futures),ALPHAUSDT,ALPHA,USDT,0.01,2697544.38237375,128441086.0,0.014,https://www.binance.com/en/futures/ALPHAUSDT
binance_futures,Binance (Futures),ALPINEUSDT,ALPINE,USDT,0.005,26425563.99627968,21476614.2,1.966,https://www.binance.com/en/futures/ALPINEUSDT
binance_futures,Binance (Futures),ALTUSDT,ALT,USDT,-0.003,8122434.987982761,329292411.0,0.032,https://www.binance.com/en/futures/ALTUSDT
binance_futures,Binance (Futures),ANIMEUSDT,ANIME,USDT,-0.018,4637710.75423474,305570223.0,0.016,https://www.binance.com/en/futures/ANIMEUSDT
binance_futures,Binance (Futures),ANKRUSDT,ANKR,USDT,-0.009,3502365.33688812,246624488.0,0.015,https://www.binance.com/en/futures/ANKRUSDT
binance_futures,Binance (Futures),APEUSDT,APE,USDT,-0.012,18178210.06097034,29440232.0,0.571,https://www.binance.com/en/futures/APEUSDT
binance_futures,Binance (Futures),API3USDT,API3,USDT,0.001,31811406.51259964,366848493.3,1.466,https://www.binance.com/en/futures/API3USDT
binance_futures,Binance (Futures),APTUSD_PERP,APT,USD,0.01,2905450.2290000003,708380.69857227,4.301,https://www.binance.com/en/futures/APTUSD_PERP
binance_futures,Binance (Futures),APTUSDT,APT,USDT,-0.002,73921775.063518,21269441.1,4.298,https://www.binance.com/en/futures/APTUSDT
binance_futures,Binance (Futures),ARUSDT,AR,USDT,0.0,9384257.574774489,2078071.1,6.44,https://www.binance.com/en/futures/ARUSDT
binance_futures,Binance (Futures),ARBUSDC,ARB,USDC,0.01,3098929.20877056,29789431.6,0.48,https://www.binance.com/en/futures/ARBUSDC
